tourney_id,tourney_name,tourney_spectators,year
2016-M006/P/indian wells,Indian Wells,18086,2016
2016-M006/M/indian wells masters,Indian Wells Masters,18086,2016
2016-580/G/australian open,Australian Open,13004,2016
2016-M007/P/miami,Miami,11801,2016
2016-M007/M/miami masters,Miami Masters,11801,2016
2016-520/G/roland garros,Roland Garros,10241,2016
2016-540/G/wimbledon,Wimbledon,9891,2016
2016-560/G/us open,US Open,9129,2016
2016-0352/M/paris masters,Paris Masters,8536,2016
2016-1003/P/doha,Doha,7746,2016
2016-1075/I/wuhan,Wuhan,7499,2016
2016-0806/P/montreal,Montreal,7173,2016
2016-M035/I/washington,Washington,7011,2016
2016-M035/A/washington,Washington,7011,2016
2016-O16/A/rio olympics,Rio Olympics,6657,2016
2016-O16/O/olympics,Olympics,6657,2016
2016-M009/P/rome,Rome,6619,2016
2016-M009/M/rome masters,Rome Masters,6619,2016
2016-0425/A/barcelona,Barcelona,6617,2016
2016-0710/P/eastbourne,Eastbourne,6484,2016
2016-M024/M/cincinnati masters,Cincinnati Masters,5933,2016
2016-M024/P/cincinnati,Cincinnati,5933,2016
2016-5014/M/shanghai masters,Shanghai Masters,5798,2016
2016-0804/P/charleston,Charleston,5728,2016
2016-0410/M/monte carlo masters,Monte Carlo Masters,5638,2016
2016-0421/M/canada masters,Canada Masters,5547,2016
2016-6242/A/winston-salem,Winston-Salem,5202,2016
2016-0741/A/nottingham,Nottingham,5158,2016
2016-9028/C/manerbio ch,Manerbio CH,4993,2016
2016-6965/C/guangzhou ch,Guangzhou CH,4904,2016
2016-W-C10-CHI-01A-2016/10/santiago $10k,Santiago $10K,4890,2016
2016-W-C10-ESP-12A-2016/10/las palmas de gran canaria $10k,Las Palmas de Gran Canaria $10K,4812,2016
2016-W-C10-GER-03A-2016/10/nuernberg $10k,Nuernberg $10K,4803,2016
2016-W-C10-SVK-01A-2016/10/trnava $10k,Trnava $10K,4735,2016
2016-W-C10-RUS-04A-2016/10/moscow $10k,Moscow $10K,4720,2016
2016-W-C25-MEX-07A-2016/25/irapuato $25k,Irapuato $25K,4712,2016
2016-W-C25-JPN-02A-2016/25/kashiwa $25k,Kashiwa $25K,4710,2016
2016-W-C50-USA-11A-2016/50/scottsdale az $50k,Scottsdale AZ $50K,4662,2016
2016-W-C50-USA-02A-2016/50/osprey fl $50k,Osprey FL $50K,4658,2016
2016-W-C10-GBR-05A-2016/10/loughborough $10k,Loughborough $10K,4622,2016
2016-W-C10-POR-02A-2016/10/cantanhede $10k,Cantanhede $10K,4616,2016
2016-W-C25-JPN-06A-2016/25/hamamatsu $25k,Hamamatsu $25K,4611,2016
2016-W-C10-TPE-01A-2016/10/kaohsiung $10k,Kaohsiung $10K,4587,2016
2016-M015/P/beijing,Beijing,4548,2016
2016-M015/A/beijing,Beijing,4548,2016
2016-7442/C/manila ch,Manila CH,4533,2016
2016-W-C25-FRA-02A-2016/25/perigueux $25k,Perigueux $25K,4522,2016
2016-W-C75-AUS-01A-2016/75/launceston $75k,Launceston $75K,4520,2016
2016-0429/A/stockholm,Stockholm,4518,2016
2016-0854/C/bergamo ch,Bergamo CH,4499,2016
2016-W-C25-KOR-02A-2016/25/goyang $25k,Goyang $25K,4487,2016
2016-W-C10-TUR-03A-2016/10/antalya $10k,Antalya $10K,4483,2016
2016-W-C10-TUN-24A-2016/10/hammamet $10k,Hammamet $10K,4479,2016
2016-W-C10-CRO-03A-2016/10/bol $10k,Bol $10K,4473,2016
2016-W-C50-GBR-02A-2016/50/surbiton $50k,Surbiton $50K,4468,2016
2016-6967/A/shenzhen,Shenzhen,4463,2016
2016-W-C10-IND-01A-2016/10/pune $10k,Pune $10K,4444,2016
2016-W-C10-EGY-48A-2016/10/cairo $10k,Cairo $10K,4442,2016
2016-W-C10-TUR-08A-2016/10/antalya $10k,Antalya $10K,4426,2016
2016-W-C10-FRA-10A-2016/10/saint gervais $10k,Saint Gervais $10K,4422,2016
2016-W-C25-AUS-06A-2016/25/canberra $25k,Canberra $25K,4407,2016
2016-W-C10-TUR-12A-2016/10/antalya $10k,Antalya $10K,4387,2016
2016-W-C25-USA-14A-2016/25/landisville pa $25k,Landisville PA $25K,4361,2016
2016-W-C10-RUS-03A-2016/10/moscow $10k,Moscow $10K,4352,2016
2016-W-C25-GER-06A-2016/25/darmstadt $25k,Darmstadt $25K,4352,2016
2016-6014/C/st remy de provence ch,St Remy de Provence CH,4341,2016
2016-W-C10-GEO-03A-2016/10/batumi $10k,Batumi $10K,4337,2016
2016-0825/I/tashkent,Tashkent,4331,2016
2016-7353/C/suzhou ch,Suzhou CH,4321,2016
2016-W-C10-TUR-18A-2016/10/antalya $10k,Antalya $10K,4294,2016
2016-W-C25-BUL-01A-2016/25/sofia $25k,Sofia $25K,4294,2016
2016-W-C100-CHN-01A-2016/100/anning $100k,Anning $100K,4281,2016
2016-7021/C/mestre ch,Mestre CH,4277,2016
2016-1048/I/bastad,Bastad,4268,2016
2016-W-C25-BRA-06A-2016/25/campos do jordao $25k,Campos Do Jordao $25K,4267,2016
2016-3967/C/karshi ch,Karshi CH,4264,2016
2016-W-C10-CZE-04A-2016/10/ricany $10k,Ricany $10K,4263,2016
2016-W-C10-TUN-12A-2016/10/hammamet $10k,Hammamet $10K,4252,2016
2016-W-C10-SWE-03A-2016/10/stockholm $10k,Stockholm $10K,4243,2016
2016-W-C10-ESP-06A-2016/10/monzon $10k,Monzon $10K,4241,2016
2016-W-C50-CHN-05A-2016/50/tianjin $50k,Tianjin $50K,4225,2016
2016-1091/I/mallorca,Mallorca,4223,2016
2016-W-C10-SUI-01A-2016/10/caslano $10k,Caslano $10K,4218,2016
2016-1796/C/st. brieuc ch,St. Brieuc CH,4213,2016
2016-W-C10-FRA-04A-2016/10/macon $10k,Macon $10K,4207,2016
2016-W-C10-TUR-20A-2016/10/antalya $10k,Antalya $10K,4204,2016
2016-W-C10-ISR-04A-2016/10/akko $10k,Akko $10K,4201,2016
2016-W-C25-USA-01A-2016/25/daytona beach fl $25k,Daytona Beach FL $25K,4197,2016
2016-W-C10-MDA-01A-2016/10/chisinau $10k,Chisinau $10K,4185,2016
2016-W-C25-BLR-03A-2016/25/minsk $25k,Minsk $25K,4183,2016
2016-7584/C/budapest ch,Budapest CH,4182,2016
2016-W-C10-RSA-02A-2016/10/stellenbosch $10k,Stellenbosch $10K,4175,2016
2016-3473/C/como ch,Como CH,4163,2016
2016-7077/C/prague ch,Prague CH,4156,2016
2016-W-C10-THA-05A-2016/10/hua hin $10k,Hua Hin $10K,4154,2016
2016-W-C10-LUX-01A-2016/10/petange $10k,Petange $10K,4152,2016
2016-M021/M/madrid masters,Madrid Masters,4151,2016
2016-M021/P/madrid,Madrid,4151,2016
2016-W-C10-GRE-05A-2016/10/heraklion $10k,Heraklion $10K,4139,2016
2016-W-C25-AUS-07A-2016/25/tweed heads $25k,Tweed Heads $25K,4135,2016
2016-W-C25-UKR-01A-2016/25/kharkiv $25k,Kharkiv $25K,4123,2016
2016-W-C10-GBR-06A-2016/10/sheffield $10k,Sheffield $10K,4123,2016
2016-0784/C/seville ch,Seville CH,4111,2016
2016-W-C10-KAZ-06A-2016/10/shymkent $10k,Shymkent $10K,4110,2016
2016-1095/C/honolulu,Honolulu,4108,2016
2016-7203/C/launceston ch,Launceston CH,4105,2016
2016-W-C10-MEX-07A-2016/10/mexico city $10k,Mexico City $10K,4099,2016
2016-0695/C/dallas ch,Dallas CH,4095,2016
2016-6572/C/anning ch,Anning CH,4095,2016
2016-W-C100-EGY-01A-2016/100/sharm el sheikh $100k,Sharm El Sheikh $100K,4093,2016
2016-W-C50-USA-10A-2016/50/macon ga $50k,Macon GA $50K,4090,2016
2016-1072/C/limoges,Limoges,4086,2016
2016-W-C10-CHN-06A-2016/10/anning $10k,Anning $10K,4084,2016
2016-W-C10-BOL-03A-2016/10/santa cruz $10k,Santa Cruz $10K,4084,2016
2016-W-C10-TUN-19A-2016/10/hammamet $10k,Hammamet $10K,4072,2016
2016-W-C10-EGY-29A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,4068,2016
2016-7239/C/napoli ch,Napoli CH,4068,2016
2016-7496/C/zhuhai ch,Zhuhai CH,4066,2016
2016-W-C10-EGY-35A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,4066,2016
2016-3994/C/cali ch,Cali CH,4059,2016
2016-W-C50-FRA-05A-2016/50/joue les tours $50k,Joue Les Tours $50K,4058,2016
2016-W-C10-BEL-04A-2016/10/maaseik $10k,Maaseik $10K,4054,2016
2016-7557/C/gatineau ch,Gatineau CH,4048,2016
2016-0544/C/montevideo ch,Montevideo CH,4041,2016
